(-5.69279e-07,3.95181e-07)
(2.53547e-06,3.69162e-06)
(1.84473e-06,-1.28057e-06)
(-2.40085e-06,-3.58535e-06)
(-5.52556e-07,-5.92538e-05)
(-0.000141333,-3.27903e-06)
(-9.00109e-07,6.24836e-07)
(4.00894e-06,5.83696e-06)
(1.30442e-06,-9.05502e-07)
(-1.69766e-06,-2.53523e-06)
(3.57023e-06,6.97127e-08)
(5.87428e-07,-2.88292e-05)
(1.01454e-07,5.12955e-08)
(4.08068e-07,-8.06854e-07)
(8.74523e-06,1.70761e-07)
(1.4389e-06,-7.06169e-05)
(-9.81644e-07,7.81005e-07)
(3.04047e-06,3.93609e-06)
(3.14125e-06,-2.49921e-06)
(-3.03457e-06,-4.18061e-06)
(-2.51749e-06,-9.66827e-05)
(-0.000160407,-8.02461e-06)
(-1.55212e-06,1.23488e-06)
(4.80741e-06,6.2235e-06)
(2.2212e-06,-1.76721e-06)
(-2.14576e-06,-2.95614e-06)
(6.90559e-06,-7.24342e-07)
(-3.21672e-06,-3.15648e-05)
(2.38073e-07,7.23123e-08)
(3.02588e-07,-9.94451e-07)
(1.69152e-05,-1.77427e-06)
(-7.87933e-06,-7.73177e-05)
(-1.39638e-06,1.2348e-06)
(3.50407e-06,4.19501e-06)
(4.42324e-06,-3.91141e-06)
(-3.62868e-06,-4.83973e-06)
(-6.57969e-06,-0.000131171)
(-0.000177686,-1.35184e-05)
(-2.20788e-06,1.9524e-06)
(5.54042e-06,6.6329e-06)
(3.1277e-06,-2.76578e-06)
(-2.56587e-06,-3.4222e-06)
(1.0715e-05,-2.1268e-06)
(-6.51109e-06,-3.40055e-05)
(4.23359e-07,7.26e-08)
(2.00702e-07,-1.16129e-06)
(2.62463e-05,-5.20958e-06)
(-1.59488e-05,-8.32961e-05)
(-1.6849e-06,1.59092e-06)
(3.82104e-06,4.38822e-06)
(5.30405e-06,-5.0082e-06)
(-4.03444e-06,-5.34769e-06)
(-1.09267e-05,-0.000153704)
(-0.000189037,-1.73898e-05)
(-2.66406e-06,2.51547e-06)
(6.04159e-06,6.93839e-06)
(3.75053e-06,-3.54134e-06)
(-2.85278e-06,-3.78139e-06)
(1.36333e-05,-3.47425e-06)
(-8.6918e-06,-3.56892e-05)
(5.82887e-07,5.70627e-08)
(1.27783e-07,-1.27588e-06)
(3.33947e-05,-8.51015e-06)
(-2.12905e-05,-8.74203e-05)
(-2.21337e-06,2.34393e-06)
(4.41811e-06,4.77936e-06)
(6.8968e-06,-7.3036e-06)
(-4.78792e-06,-6.41368e-06)
(-2.28667e-05,-0.000192653)
(-0.000209232,-2.39702e-05)
(-3.49965e-06,3.70607e-06)
(6.98565e-06,7.55684e-06)
(4.87677e-06,-5.16443e-06)
(-3.38557e-06,-4.53516e-06)
(1.96217e-05,-6.85124e-06)
(-1.26938e-05,-3.89678e-05)
(9.52906e-07,-1.64028e-08)
(-1.81379e-08,-1.49819e-06)
(4.80631e-05,-1.6782e-05)
(-3.10933e-05,-9.54512e-05)
(-2.59115e-06,2.98474e-06)
(4.8798e-06,5.09773e-06)
(8.02038e-06,-9.23865e-06)
(-5.35753e-06,-7.3174e-06)
(-3.53747e-05,-0.000219203)
(-0.000223875,-2.78746e-05)
(-4.09697e-06,4.71928e-06)
(7.71563e-06,8.06022e-06)
(5.67127e-06,-6.53272e-06)
(-3.78834e-06,-5.17419e-06)
(2.45354e-05,-1.01658e-05)
(-1.5716e-05,-4.16342e-05)
(1.29713e-06,-1.18969e-07)
(-1.39574e-07,-1.67912e-06)
(6.00992e-05,-2.49009e-05)
(-3.84961e-05,-0.000101983)
(-3.73222e-06,6.27613e-06)
(7.01245e-06,6.54459e-06)
(1.13379e-05,-1.9066e-05)
(-7.91557e-06,-1.19205e-05)
(-0.000119799,-0.000301181)
(-0.000283746,-2.87183e-05)
(-5.90115e-06,9.92343e-06)
(1.10877e-05,1.03479e-05)
(8.01713e-06,-1.34817e-05)
(-5.59715e-06,-8.42909e-06)
(4.72635e-05,-3.13914e-05)
(-2.88538e-05,-5.54716e-05)
(3.38773e-06,-1.17072e-06)
(-8.01234e-07,-2.65768e-06)
(0.000115771,-7.6893e-05)
(-7.06772e-05,-0.000135877)
(-8.41341e-07,5.8404e-07)
(3.07265e-06,4.48415e-06)
(4.25938e-07,4.56757e-05)
(8.8732e-05,2.71614e-06)
(4.20671e-07,-2.9202e-07)
(-1.53633e-06,-2.24208e-06)
(-1.26378e-06,8.77285e-07)
(1.17858e-06,1.78467e-06)
(9.75977e-06,1.90571e-07)
(1.15046e-06,-5.54883e-05)
(2.23357e-07,1.1293e-07)
(5.10614e-07,-1.00939e-06)
(-1.46101e-06,1.16239e-06)
(3.76471e-06,4.90231e-06)
(1.94112e-06,7.45474e-05)
(0.000103145,6.72215e-06)
(7.30506e-07,-5.81197e-07)
(-1.88235e-06,-2.45115e-06)
(-2.15378e-06,1.71357e-06)
(1.53555e-06,2.1813e-06)
(1.8782e-05,-1.97008e-06)
(-6.26795e-06,-6.21982e-05)
(5.21474e-07,1.58392e-07)
(3.93223e-07,-1.29075e-06)
(-2.09055e-06,1.84865e-06)
(4.41366e-06,5.33916e-06)
(5.07557e-06,0.000101185)
(0.000116252,1.14722e-05)
(1.04528e-06,-9.24324e-07)
(-2.20683e-06,-2.66958e-06)
(-3.03605e-06,2.68474e-06)
(1.87463e-06,2.62526e-06)
(2.90218e-05,-5.76049e-06)
(-1.2925e-05,-6.83729e-05)
(9.23436e-07,1.58356e-07)
(2.70067e-07,-1.55507e-06)
(-2.53195e-06,2.39072e-06)
(4.86313e-06,5.66354e-06)
(8.43221e-06,0.000118615)
(0.000124894,1.49118e-05)
(1.26597e-06,-1.19536e-06)
(-2.43157e-06,-2.83177e-06)
(-3.64387e-06,3.44062e-06)
(2.1072e-06,2.97016e-06)
(3.68302e-05,-9.38563e-06)
(-1.74377e-05,-7.27e-05)
(1.26805e-06,1.24138e-07)
(1.76899e-07,-1.74301e-06)
